"Borrado";"Favorito";"Fecha";"Fuente";"Texto";"Enlace";"Marca";"Usuario";"Oficial";"Opinion";"Categoria";"Tags";"Impacto"
"false";"false";"2020-05-02 09:53:32";"twitter";"Z?sta?te doma s pomocí @esa.";"null";"Citizen science EU";"4d1848262798b66c2846aecd651418da";"false";"0";"";"";"42,89"
"false";"false";"2020-05-02 09:53:32";"twitter";"Z?sta?te doma s pomocí @esa.";"null";"Citizen science All World";"4d1848262798b66c2846aecd651418da";"false";"0";"";"";"42,89"
"false";"false";"2020-05-02 09:45:24";"twitter";"Let your grass grow longer and enjoy the flowers and insects....";"null";"Citizen science EU";"75d34fda2a0a04fac6cb67b5b4a49fa2";"false";"66,67";"";"";"37,37"
"false";"false";"2020-05-02 09:45:24";"twitter";"Let your grass grow longer and enjoy the flowers and insects....";"null";"Citizen science All World";"75d34fda2a0a04fac6cb67b5b4a49fa2";"false";"66,67";"";"";"37,37"
"false";"false";"2020-05-02 09:45:06";"twitter";"RT: Understanding #Plasma 4th state of matter and how that can be useful for Senitization & Disinfection operation to #FightAgainstCoronavirus. #CitizenScience Webinar by Dr. Payal Pandit was attended by 100+ participants across the nation. #StayHomeStayLearning @hareets @dstGujarat https://t.co/rnO3uAlULt";"null";"Citizen science All World";"d25c2331c1bfa082e234bcffc4d94f70";"false";"33,33";"";"";"22,97"
"false";"false";"2020-05-02 11:02:19";"twitter";"RT: How are you celebrating #SpaceDay? ???Why not catch up on our Q&A with @chrislintott? Get ready for stories of the #cosmos, #citizenscience, and #astronomy in #lockdown... \n \n https://t.co/oo9IeXxK7Z #InternationalSpaceDay @OxfordPhysics @the_zooniverse https://t.co/RMilarBkHT";"null";"Citizen science All World";"d7b540361dcd4762a13d1a9e9f167422";"false";"0";"";"";"17"
"false";"false";"2020-05-02 11:02:54";"twitter";"Why the reduction in mowing on #LeytonMarsh is such a good thing, as proven by citizen science:";"null";"Citizen science EU";"9b2239ddce089b01fef7e38ac1bb5478";"false";"33,33";"";"";"48,01"
"false";"false";"2020-05-02 11:02:54";"twitter";"Why the reduction in mowing on #LeytonMarsh is such a good thing, as proven by citizen science:";"null";"Citizen science All World";"9b2239ddce089b01fef7e38ac1bb5478";"false";"33,33";"";"";"48,01"
"false";"false";"2020-05-02 10:59:40";"twitter";"RT: #CitizenScience research undertaken by #EveryFlowerCounts participants reveals that the average lawn produces 12 grams of nectar sugar per day, enough to support 1088 honeybees https://t.co/mI6M0d8rKX #NoMowMay https://t.co/YCbbyV73iA";"null";"Citizen science EU";"c1b96ab784292317d07604b21ac26539";"false";"0";"";"";"26,66"
"false";"false";"2020-05-02 10:59:40";"twitter";"RT: #CitizenScience research undertaken by #EveryFlowerCounts participants reveals that the average lawn produces 12 grams of nectar sugar per day, enough to support 1088 honeybees https://t.co/mI6M0d8rKX #NoMowMay https://t.co/YCbbyV73iA";"null";"Citizen science All World";"c1b96ab784292317d07604b21ac26539";"false";"0";"";"";"26,66"
"false";"false";"2020-05-02 10:46:38";"twitter";"RT: Sciences participatives, appli, MOOC, tutos, origami.. \n Comment en apprendre plus sur les oiseaux sans sortir de chez soi.. via @lemondefr @marluretz \n #RestezauNid ??";"null";"Citizen science EU";"691803a81fff56b8d6759c65ea6a1d82";"false";"0";"";"";"49,57"
"false";"false";"2020-05-02 10:46:38";"twitter";"RT: Sciences participatives, appli, MOOC, tutos, origami.. \n Comment en apprendre plus sur les oiseaux sans sortir de chez soi.. via @lemondefr @marluretz \n #RestezauNid ??";"null";"Citizen science All World";"691803a81fff56b8d6759c65ea6a1d82";"false";"0";"";"";"49,57"
"false";"false";"2020-05-02 10:42:38";"twitter";"RT: Baromètre #DataCovid : découvrez les résultats de la 2e vague de l?enquête @datacovid1 menée par @IpsosFrance en partenariat avec #VINCIAutoroutes, décryptés par @MercierEtienne2 directeur du pôle opinion d?Ipsos. https://t.co/GbBs811F88 \n #BarometreCovid19 #CitizenScience #Covid19 https://t.co/zLpcvwtFjY";"null";"Citizen science All World";"046a6f86f303a664b1fb076c41af97ba";"false";"0";"";"";"38,24"
"false";"false";"2020-05-02 11:02:03";"twitter";"RT: Vor Sonnenaufgang singen viele Vogelarten am lautesten. Und ihr könnt dabei sein. Stellt euch den Wecker, nehmt #Vogelstimmen mit dem Handy auf und werdet so Teil des #DawnChorus #CitizenScience-Projekts vom @BiotopiaMuseum. So funktioniert das Ganze: https://t.co/JsYL3F0TJ1 https://t.co/rbT76uf15G";"null";"Citizen science All World";"1c2a1d0d1e674b57c6e59688ce8aebe1";"false";"0";"";"";"23,93"
"false";"false";"2020-05-02 10:49:17";"twitter";"Butterflies and moths are beautiful, and you can help us monitor them by contributing to #lepimap! https://t.co/6dQzmZgNQv #citizenscience";"null";"Citizen science All World";"1ae07f50bced73753002180ed39de93b";"false";"50";"";"";"37,28"
"false";"false";"2020-05-02 10:50:36";"twitter";"Citizen science is what drives us! See what the ADU has to say about #citizenscience today: https://t.co/6dQzmZgNQv";"null";"Citizen science All World";"1ae07f50bced73753002180ed39de93b";"false";"0";"";"";"37,28"
